"delta","highAlpha","highBeta","lowAlpha","lowBeta","lowGamma","middleGamma","theta","label"
970062,18733,4937,12901,6790,1890,606,20430,1
112773,9317,22706,11467,24379,14947,7229,73086,
253728,14295,15343,11643,7045,12386,2824,37753,
1301289,94994,14999,29310,9855,8377,2008,129965,
137057,17765,22671,96822,29725,11473,4301,81753,
90912,4128,11463,21607,14255,6424,2611,15008,
199038,10515,13150,8582,31318,4129,3281,125212,
246945,28233,21663,123260,33726,17168,12081,103603,
555659,27981,38865,9394,8872,9071,3899,265444,
911951,24334,7468,585,6001,3371,913,46572,
250205,1422,5343,14529,8165,4064,894,75937,
158331,7816,6007,8946,3669,2562,1309,16577,
33787,24527,37163,39485,31533,10373,9283,28124,
87623,8991,8818,12805,5669,5195,2851,71801,
35669,18481,18145,3204,11909,14863,7746,37392,
61749,11506,16412,25116,14939,8446,2990,28239,
482175,29038,11115,50728,8551,4063,5204,53017,
129359,12565,5800,14049,18625,5498,4765,31774,
72662,5992,1677,9849,4060,1153,1356,17841,
68426,9739,11053,13104,22668,10520,3344,37113,
2081011,18827,25522,16480,30112,13202,3683,98572,
1074159,21856,32356,13860,22618,7186,7641,76768,
874687,39547,16323,128658,22575,6523,3415,127173,
161136,3046,4056,9654,13465,2533,1259,33390,
105008,10498,933,2256,1931,1810,320,17400,
1104125,59873,19524,5552,45007,19529,5670,82364,
258148,27949,25533,71460,26485,17679,2784,87520,
118510,41536,7420,11521,27176,6648,5787,60753,
2354775,12207,31803,30021,38914,8365,7206,109039,
660933,14740,7328,1695,5781,1698,2978,21257,